index,source_file,output_file,slug,side
1,"конструктор оружия А.И. Маслов (крейсер Киров) — аверс.jpg","25r-2020-konstruktor-oruzhiya-a-i-maslov-reverse.jpg","25r-2020-konstruktor-oruzhiya-a-i-maslov-reverse",""
2,"конструктор оружия А.И. Маслов (крейсер Киров) — реверс.jpg","25r-2020-konstruktor-oruzhiya-a-i-maslov-obverse.jpg","25r-2020-konstruktor-oruzhiya-a-i-maslov-obverse",""
3,"конструктор оружия А.И. Судаев (ППС-43) — аверс.jpg","25r-2020-konstruktor-oruzhiya-a-i-sudaev-reverse.jpg","25r-2020-konstruktor-oruzhiya-a-i-sudaev-reverse",""
4,"конструктор оружия А.И. Судаев (ППС-43) — реверс.jpg","25r-2020-konstruktor-oruzhiya-a-i-sudaev-obverse.jpg","25r-2020-konstruktor-oruzhiya-a-i-sudaev-obverse",""
5,"конструктор оружия А.Н.Туполев (ТУ-2) — аверс.jpg","25r-2020-konstruktor-oruzhiya-a-n-tupolev-reverse.jpg","25r-2020-konstruktor-oruzhiya-a-n-tupolev-reverse",""
6,"конструктор оружия А.Н.Туполев (ТУ-2) — реверс.jpg","25r-2020-konstruktor-oruzhiya-a-n-tupolev-obverse.jpg","25r-2020-konstruktor-oruzhiya-a-n-tupolev-obverse",""
7,"конструктор оружия А.С. Яковлев (ЯК-9) — аверс.jpg","25r-2020-konstruktor-oruzhiya-a-s-yakovlev-reverse.jpg","25r-2020-konstruktor-oruzhiya-a-s-yakovlev-reverse",""
8,"конструктор оружия А.С. Яковлев (ЯК-9) — реверс.jpg","25r-2020-konstruktor-oruzhiya-a-s-yakovlev-obverse.jpg","25r-2020-konstruktor-oruzhiya-a-s-yakovlev-obverse",""
9,"конструктор оружия Б.М. Малинин (Щука) — аверс.jpg","25r-2019-konstruktor-oruzhiya-b-m-malinin-reverse.jpg","25r-2019-konstruktor-oruzhiya-b-m-malinin-reverse",""
10,"конструктор оружия Б.М. Малинин (Щука) — реверс.jpg","25r-2019-konstruktor-oruzhiya-b-m-malinin-obverse.jpg","25r-2019-konstruktor-oruzhiya-b-m-malinin-obverse",""
11,"конструктор оружия В.Г. Грабин (ЗиС-3) — аверс.jpg","25r-2019-konstruktor-oruzhiya-v-g-grabin-reverse.jpg","25r-2019-konstruktor-oruzhiya-v-g-grabin-reverse",""
12,"конструктор оружия В.Г. Грабин (ЗиС-3) — реверс.jpg","25r-2019-konstruktor-oruzhiya-v-g-grabin-obverse.jpg","25r-2019-konstruktor-oruzhiya-v-g-grabin-obverse",""
13,"конструктор оружия В.М. Петляков (ПЕ-2) — аверс.jpg","25r-2019-konstruktor-oruzhiya-v-m-petlyakov-reverse.jpg","25r-2019-konstruktor-oruzhiya-v-m-petlyakov-reverse",""
14,"конструктор оружия В.М. Петляков (ПЕ-2) — реверс.jpg","25r-2019-konstruktor-oruzhiya-v-m-petlyakov-obverse.jpg","25r-2019-konstruktor-oruzhiya-v-m-petlyakov-obverse",""
15,"конструктор оружия Г.С. Шпагин (ППШ-41) — аверс.jpg","25r-2019-konstruktor-oruzhiya-g-s-shpagin-reverse.jpg","25r-2019-konstruktor-oruzhiya-g-s-shpagin-reverse",""
16,"конструктор оружия Г.С. Шпагин (ППШ-41) — реверс.jpg","25r-2019-konstruktor-oruzhiya-g-s-shpagin-obverse.jpg","25r-2019-konstruktor-oruzhiya-g-s-shpagin-obverse",""
