index,source_file,output_file,slug,side
1,"Снимок экрана 2026-04-18 в 15.29.29.png","5r-1991-vintorogiy-kozel-reverse.jpg","5r-1991-vintorogiy-kozel-reverse",""
2,"Снимок экрана 2026-04-18 в 15.29.36.png","5r-1991-lmd-obverse.jpg","5r-1991-lmd-obverse",""
3,"Снимок экрана 2026-04-18 в 15.29.56.png","5r-1991-rybnyy-filin-reverse.jpg","5r-1991-rybnyy-filin-reverse",""
4,"Снимок экрана 2026-04-18 в 15.30.21.png","5r-1991-lmd-obverse.jpg","5r-1991-lmd-obverse",""
5,"Снимок экрана 2026-04-18 в 15.30.44.png","10r-1992-amurskiy-tigr-reverse.jpg","10r-1992-amurskiy-tigr-reverse",""
6,"Снимок экрана 2026-04-18 в 15.31.04.png","10r-1992-amurskiy-tigr-obverse.jpg","10r-1992-amurskiy-tigr-obverse",""
7,"Снимок экрана 2026-04-18 в 15.31.26.png","10r-1992-krasnozobaya-kazarka-reverse.jpg","10r-1992-krasnozobaya-kazarka-reverse",""
8,"Снимок экрана 2026-04-18 в 15.31.33.png","10r-1992-krasnozobaya-kazarka-obverse.jpg","10r-1992-krasnozobaya-kazarka-obverse",""
9,"Снимок экрана 2026-04-18 в 15.31.52.png","10r-1992-sredneaziatskaya-kobra-reverse.jpg","10r-1992-sredneaziatskaya-kobra-reverse",""
10,"Снимок экрана 2026-04-18 в 15.31.58.png","10r-1992-sredneaziatskaya-kobra-obverse.jpg","10r-1992-sredneaziatskaya-kobra-obverse",""
11,"Снимок экрана 2026-04-18 в 15.32.17.png","50r-1993-gimalayskiy-medved-reverse.jpg","50r-1993-gimalayskiy-medved-reverse",""
12,"Снимок экрана 2026-04-18 в 15.32.23.png","50r-1993-gimalayskiy-medved-obverse.jpg","50r-1993-gimalayskiy-medved-obverse",""
13,"Снимок экрана 2026-04-18 в 15.32.40.png","50r-1993-dalnevostochnyy-aist-reverse.jpg","50r-1993-dalnevostochnyy-aist-reverse",""
14,"Снимок экрана 2026-04-18 в 15.32.47.png","50r-1993-dalnevostochnyy-aist-obverse.jpg","50r-1993-dalnevostochnyy-aist-obverse",""
15,"Снимок экрана 2026-04-18 в 15.33.07.png","50r-1993-kavkazskiy-teterev-reverse.jpg","50r-1993-kavkazskiy-teterev-reverse",""
16,"Снимок экрана 2026-04-18 в 15.33.13.png","50r-1993-kavkazskiy-teterev-obverse.jpg","50r-1993-kavkazskiy-teterev-obverse",""
17,"Снимок экрана 2026-04-18 в 15.33.32.png","50r-1993-turkmenskiy-eublefar-reverse.jpg","50r-1993-turkmenskiy-eublefar-reverse",""
18,"Снимок экрана 2026-04-18 в 15.33.38.png","50r-1993-turkmenskiy-eublefar-obverse.jpg","50r-1993-turkmenskiy-eublefar-obverse",""
19,"Снимок экрана 2026-04-18 в 15.33.55.png","50r-1993-chernomorskaya-afalina-reverse.jpg","50r-1993-chernomorskaya-afalina-reverse",""
20,"Снимок экрана 2026-04-18 в 15.34.00.png","50r-1993-chernomorskaya-afalina-obverse.jpg","50r-1993-chernomorskaya-afalina-obverse",""
21,"Снимок экрана 2026-04-18 в 15.34.22.png","50r-1994-dzheyran-reverse.jpg","50r-1994-dzheyran-reverse",""
22,"Снимок экрана 2026-04-18 в 15.34.30.png","50r-1994-dzheyran-obverse.jpg","50r-1994-dzheyran-obverse",""
23,"Снимок экрана 2026-04-18 в 15.35.54.png","50r-1994-zubr-reverse.jpg","50r-1994-zubr-reverse",""
24,"Снимок экрана 2026-04-18 в 15.36.01.png","50r-1994-zubr-obverse.jpg","50r-1994-zubr-obverse",""
25,"Снимок экрана 2026-04-18 в 15.36.17.png","50r-1994-peschanyy-slepysh-reverse.jpg","50r-1994-peschanyy-slepysh-reverse",""
26,"Снимок экрана 2026-04-18 в 15.36.23.png","50r-1994-peschanyy-slepysh-obverse.jpg","50r-1994-peschanyy-slepysh-obverse",""
27,"Снимок экрана 2026-04-18 в 15.36.40.png","50r-1994-sapsan-reverse.jpg","50r-1994-sapsan-reverse",""
28,"Снимок экрана 2026-04-18 в 15.36.47.png","50r-1994-sapsan-obverse.jpg","50r-1994-sapsan-obverse",""
29,"Снимок экрана 2026-04-18 в 15.36.59.png","50r-1994-flamingo-reverse.jpg","50r-1994-flamingo-reverse",""
30,"Снимок экрана 2026-04-18 в 15.37.06.png","50r-1994-flamingo-obverse.jpg","50r-1994-flamingo-obverse",""
