n,cbr_catalog,year,name,dvor,price_rub_meshok
1,5514-0004,2000,Политрук — 55-я годовщина Победы в Великой Отечественной войне 1941–1945 гг.,ММД,130
2,5514-0004,2000,Политрук — 55-я годовщина Победы в Великой Отечественной войне 1941–1945 гг.,СПМД,126
3,5514-0005,2001,Гагарин — 40-летие космического полёта Ю.А. Гагарина,ММД,130
4,5514-0005,2001,Гагарин — 40-летие космического полёта Ю.А. Гагарина,СПМД,145
5,5514-0006,2002,Дербент — Древние города России,ММД,240
6,5514-0007,2002,Кострома — Древние города России,СПМД,240
7,5514-0008,2002,Старая Русса — Древние города России,СПМД,240
8,5514-0009,2002,Вооруженные силы — 200-летие образования в России министерств,ММД,400
9,5514-0010,2002,Министерство иностранных дел — 200-летие образования в России министерств,СПМД,360
10,5514-0011,2002,Министерство юстиции — 200-летие образования в России министерств,СПМД,260
11,5514-0012,2002,Министерство внутренних дел — 200-летие образования в России министерств,ММД,400
12,5514-0013,2002,Министерство финансов — 200-летие образования в России министерств,СПМД,395
13,5514-0014,2002,Министерство эконом. развития — 200-летие образования в России министерств,СПМД,324
14,5514-0015,2002,Министерство образования — 200-летие образования в России министерств,ММД,360
15,5514-0016,2003,Псков — Древние города России,СПМД,340
16,5514-0017,2003,Муром — Древние города России,СПМД,250
17,5514-0018,2003,Дорогобуж — Древние города России,ММД,288
18,5514-0019,2003,Касимов — Древние города России,СПМД,288
19,5514-0020,2004,Дмитров — Древние города России,ММД,290
20,5514-0021,2004,Ряжск — Древние города России,ММД,290
21,5514-0022,2004,Кемь — Древние города России,СПМД,252
22,5514-0023,2005,"Никто не забыт, ничто не забыто — 60-я годовщина Победы в Великой Отечественной войне 1941–1945 гг.",ММД,60
23,5514-0023,2005,"Никто не забыт, ничто не забыто — 60-я годовщина Победы в Великой Отечественной войне 1941–1945 гг.",СПМД,60
24,5514-0024,2005,Калининград — Древние города России,ММД,270
25,5514-0025,2005,Казань — Древние города России,СПМД,250
26,5514-0026,2005,Мценск — Древние города России,ММД,200
27,5514-0027,2005,Боровск — Древние города России,СПМД,250
28,5514-0028,2005,Ленинградская область — Российская Федерация,СПМД,81
29,5514-0029,2005,Тверская область — Российская Федерация,ММД,90
30,5514-0030,2005,Орловская область — Российская Федерация,ММД,60
31,5514-0031,2005,Краснодарский край — Российская Федерация,ММД,110
32,5514-0032,2005,Республика Татарстан — Российская Федерация,СПМД,90
33,5514-0033,2005,Город Москва — Российская Федерация,ММД,60
34,5514-0034,2006,Приморский край — Российская Федерация,ММД,90
35,5514-0035,2006,Сахалинская область — Российская Федерация,ММД,90
36,5514-0036,2006,Республика Саха (Якутия) — Российская Федерация,СПМД,90
37,5514-0037,2006,Читинская область — Российская Федерация,СПМД,90
38,5514-0038,2006,Республика Алтай — Российская Федерация,СПМД,90
39,5514-0039,2006,Белгород — Древние города России,ММД,350
40,5514-0040,2006,Торжок — Древние города России,СПМД,180
41,5514-0041,2006,Каргополь — Древние города России,ММД,180
42,5514-0042,2007,Республика Башкортостан — Российская Федерация,ММД,60
43,5514-0043,2007,Ростовская область — Российская Федерация,СПМД,60
44,5514-0044,2007,Новосибирская область — Российская Федерация,ММД,60
45,5514-0045,2007,Республика Хакасия — Российская Федерация,СПМД,70
46,5514-0046,2007,Липецкая область — Российская Федерация,ММД,60
47,5514-0047,2007,Архангельская область — Российская Федерация,СПМД,70
48,5514-0048,2007,Вологда — Древние города России,СПМД,790
49,5514-0048,2007,Вологда — Древние города России,ММД,720
50,5514-0049,2007,Великий Устюг — Древние города России,СПМД,990
51,5514-0049,2007,Великий Устюг — Древние города России,ММД,990
52,5514-0050,2007,Гдов — Древние города России,СПМД,990
53,5514-0050,2007,Гдов — Древние города России,ММД,990
54,5514-0051,2008,Владимир — Древние города России,СПМД,990
55,5514-0051,2008,Владимир — Древние города России,ММД,900
56,5514-0052,2008,Удмуртская Республика — Российская Федерация,СПМД,200
57,5514-0052,2008,Удмуртская Республика — Российская Федерация,ММД,200
58,5514-0053,2008,Астраханская область — Российская Федерация,СПМД,180
59,5514-0053,2008,Астраханская область — Российская Федерация,ММД,200
60,5514-0054,2008,Свердловская область — Российская Федерация,СПМД,200
61,5514-0054,2008,Свердловская область — Российская Федерация,ММД,200
62,5514-0055,2008,Кабардино-Балкарская Республика — Российская Федерация,СПМД,160
63,5514-0055,2008,Кабардино-Балкарская Республика — Российская Федерация,ММД,200
64,5514-0056,2008,Приозерск — Древние города России,СПМД,500
65,5514-0056,2008,Приозерск — Древние города России,ММД,760
66,5514-0057,2008,Смоленск — Древние города России,СПМД,512
67,5514-0057,2008,Смоленск — Древние города России,ММД,684
68,5514-0058,2008,Азов — Древние города России,СПМД,528
69,5514-0058,2008,Азов — Древние города России,ММД,608
70,5514-0059,2009,Республика Калмыкия — Российская Федерация,СПМД,200
71,5514-0059,2009,Республика Калмыкия — Российская Федерация,ММД,200
72,5514-0060,2009,Выборг — Древние города России,СПМД,510
73,5514-0060,2009,Выборг — Древние города России,ММД,510
74,5514-0061,2009,Галич — Древние города России,СПМД,486
75,5514-0061,2009,Галич — Древние города России,ММД,400
76,5514-0062,2009,Калуга — Древние города России,СПМД,720
77,5514-0062,2009,Калуга — Древние города России,ММД,667
78,5514-0063,2009,Еврейская автономная область — Российская Федерация,СПМД,200
79,5514-0063,2009,Еврейская автономная область — Российская Федерация,ММД,145
80,5514-0064,2009,Республика Адыгея — Российская Федерация,СПМД,190
81,5514-0064,2009,Республика Адыгея — Российская Федерация,ММД,200
82,5514-0065,2009,Великий Новгород — Древние города России,СПМД,485
83,5514-0065,2009,Великий Новгород — Древние города России,ММД,485
84,5514-0066,2009,Республика Коми — Российская Федерация,СПМД,100
85,5514-0067,2009,Кировская область — Российская Федерация,СПМД,160
86,5514-0068,2010,Брянск — Древние города России,СПМД,300
87,5514-0069,2010,Юрьевец — Древние города России,СПМД,160
