slug,название,номинал,единица_номинала,год,монетный_двор,era,sub_period,type,material,series,разновидность,тираж,диаметр_мм,толщина_мм,вес_г,гурт,цена_vf20,цена_ef40,цена_au50,цена_ms63,цена_ms65,описание,описание_аверс,описание_реверс
10r-2011-belgorod,Белгород,10,рубль,2011,ММД,rf,post-reform,jubilee,galvanic,goroda-slavy,,10000000,22.0,2.2,5.63,Прерывисто-рубчатый,30,55,90,180,350,"Каталожная карточка: 10 рублей, 2011 год, монетный двор — ММД. Тематика выпуска — «Белгород». Материал заготовки по паспорту выпуска: сталь с гальваническим покрытием. Заявленный тираж — 10 000 000 шт.; при прочих равных более скромный тираж обычно поддерживает спрос в коллекционном сегменте. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - обозначение номинала монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". По окружности вдоль канта - надписи, вверху: ""БАНК РОССИИ"", внизу - дата: ""2011"", слева - стилизованное изображение лавровой ветви, справа - дубовой.","герб города Белгорода, над ним, на ленте - надпись полукругом: ""ГОРОДА ВОИНСКОЙ СЛАВЫ"", внизу, вдоль канта - надпись: ""БЕЛГОРОД"""
10r-2012-luga,Луга,10,рубль,2012,СПМД,rf,post-reform,jubilee,galvanic,goroda-slavy,,10000000,22.0,2.2,5.63,Прерывисто-рубчатый,30,55,90,180,350,"Представитель памятной эмиссии 2012 года (10 рублей), монетный двор — СПМД: «Луга». Серия в каталоге: «Города воинской славы». По официальным данным эмиссии тираж составил 10 000 000 экземпляров — это задаёт массовость выпуска и ориентир по редкости в коллекции. В коллекцию её берут за узнаваемый сюжет и возможность собрать серию целиком.","в центре диска - обозначение номинала монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" - скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". По окружности вдоль канта - надписи, вверху: ""БАНК РОССИИ"", внизу - дата: ""2012"", слева - стилизованное изображение лавровой ветви, справа - дубовой.","герб города Луги, над ним, на ленте - надпись полукругом: ""ГОРОДА ВОИНСКОЙ СЛАВЫ"", внизу, вдоль канта - надпись: ""ЛУГА"""
10r-2013-pskov,Псков,10,рубль,2013,СПМД,rf,post-reform,jubilee,galvanic,goroda-slavy,,10000000,22.0,2.2,5.63,Прерывисто-рубчатый,30,55,90,180,350,"Представитель памятной эмиссии 2013 года (10 рублей), монетный двор — СПМД: «Псков».   Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска – обозначение номинала монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" – скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". По окружности вдоль канта – надписи, вверху: ""БАНК РОССИИ"", внизу – дата: ""2013"", слева – стилизованное изображение лавровой ветви, справа – дубовой.","герб города Пскова, над ним, на ленте – надпись полукругом: ""ГОРОДА ВОИНСКОЙ СЛАВЫ"", внизу, вдоль канта – надпись: ""ПСКОВ""."
10r-2013-bryansk,Брянск,10,рубль,2013,СПМД,rf,post-reform,jubilee,galvanic,goroda-slavy,,10000000,22.0,2.2,5.63,Прерывисто-рубчатый,30,55,90,180,350,"Номинал 10 рублей, год чеканки 2013, монетный двор — СПМД. Предмет коллекционирования — памятная монета с наименованием «Брянск».   Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска – обозначение номинала монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" – скрытые, видимые поочередно при изменении угла зрения изображения числа ""10"" и надписи ""РУБ"". По окружности вдоль канта – надписи, вверху: ""БАНК РОССИИ"", внизу – год выпуска: ""2013"", слева – стилизованное изображение лавровой ветви, справа – дубовой.","герб города Брянска, над ним, на ленте – надпись полукругом: ""ГОРОДА ВОИНСКОЙ СЛАВЫ"", внизу, вдоль канта – надпись: ""БРЯНСК""."
10r-2014-tver,Тверь,10,рубль,2014,ММД,rf,post-reform,jubilee,galvanic,goroda-slavy,,10000000,22.0,2.2,5.63,Прерывисто-рубчатый,30,55,90,180,350,Юбилейная монета 10 рублей 2014 года (ММД) посвящена теме «Тверь» — для коллекционера это прежде всего сюжет и сохранность. Технология изготовления для круга обращения: сталь с гальваническим покрытием. Заявленный тираж — 10 000 000 шт.; при прочих равных более скромный тираж обычно поддерживает спрос в коллекционном сегменте. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.,"в центре диска – обозначение номинала монеты ""10 РУБЛЕЙ"". Внутри цифры ""0"" – скрытые, видимые поочередно при изменении угла зрения изображения цифры ""10"" и надписи ""РУБ"". По окружности вдоль канта – надписи, вверху: ""БАНК РОССИИ"", внизу – дата: ""2014"", слева – стилизованное изображение лавровой ветви, справа – дубовой.","герб города Твери, над ним, на ленте – надпись полукругом: ""ГОРОДА ВОИНСКОЙ СЛАВЫ"", внизу вдоль канта – надпись: ""ТВЕРЬ""."
1r-1992-matematik-n-i-lobachevskiy-k-200-letiyu-so-dnya-rozhdeniya,"Математик Н. И. Лобачевский, к 200-летию со дня рождения",1,рубль,1992,ММД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,31,2.3,12.8,"две надписи ""ОДИН РУБЛЬ"", разделённые двумя звёздочками",0,0,0,0,0,"Каталожная карточка: 1 рубль, 1992 год, монетный двор — ММД. Тематика выпуска — «Математик Н. И. Лобачевский, к 200-летию со дня рождения». Технология изготовления для круга обращения: мельхиор (медно-никелевый сплав). Тираж 600 000 шт. хорошо известен по банковским материалам и фиксируется в нумизматических справочниках. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска, в круге из точек – эмблема Банка России (двуглавый орёл с опущенными крыльями), под ним справа – товарный знак монетного двора, вдоль канта – надписи, разделенные двумя фрагментами орнамента, вверху – номинал и год выпуска: ""ОДИН РУБЛЬ 1992"", внизу: ""БАНК РОССИИ"".","в центре диска - рельефный портрет Н.И. Лобачевского со скрещёнными на груди руками, вдоль канта по окружности слева - надпись: ""Н.И. ЛОБАЧЕВСКИЙ"", справа: - даты ""1792"" и ""1856"", разделенные точкой."
1r-1992-pisatel-yakub-kolas-k-110-letiyu-so-dnya-rozhdeniya,"Писатель Якуб Колас, к 110-летию со дня рождения",1,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,31,2.3,12.8,"две надписи ""ОДИН РУБЛЬ"", разделённые двумя звёздочками",0,0,0,0,0,"Юбилейная монета 1 рубль 1992 года (ЛМД) посвящена теме «Писатель Якуб Колас, к 110-летию со дня рождения» — для коллекционера это прежде всего сюжет и сохранность.   ","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – эмблема Банка России (двуглавый орёл с опущенными крыльями), под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""1 РУБЛЬ1992"", вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска - рельефный портрет Я. Коласа в рубашке с вышивкой национальных орнаментов, слева и справа от него – даты: ""1882"" и ""1956""; вдоль канта внизу - надписи по окружности, слева: ""ЯКУБ"", справа: ""КОЛАС""."
1r-1992-poet-yanka-kupala-k-110-letiyu-so-dnya-rozhdeniya,"Поэт Янка Купала, к 110-летию со дня рождения",1,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,31,2.3,12.8,"две надписи ""ОДИН РУБЛЬ"", разделённые двумя звёздочками",0,0,0,0,0,"Официальная памятная монета 1 рубль (1992) с темой «Поэт Янка Купала, к 110-летию со дня рождения»; штемпель ЛМД.   Как объект коллекции монета интересна сочетанием темы, штемпеля и качества чеканки.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""1 РУБЛЬ 1992"", вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска - рельефный профильный портрет Я. Купалы, справа от него - даты в две строки: ""1882"" и ""1942"", внизу на фоне растительного орнамента - надпись: ""ЯНКА КУПАЛА""."
1r-1992-flotovodets-p-s-nakhimov-k-190-letiyu-so-dnya-rozhdeniya,"Флотоводец П.С. Нахимов, к 190-летию со дня рождения",1,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,31,2.3,12.8,"две надписи ""ОДИН РУБЛЬ"", разделённые двумя точками",0,0,0,0,0,"Представитель памятной эмиссии 1992 года (1 рубль), монетный двор — ЛМД: «Флотоводец П.С. Нахимов, к 190-летию со дня рождения». Для оценки экземпляра важны сохранность штемпеля и полнота комплекта. Заявленный тираж — 600 000 шт.; при прочих равных более скромный тираж обычно поддерживает спрос в коллекционном сегменте. Для альбома важны равномерный блеск поля и отсутствие следов обращения на рельефе.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал: ""1 РУБЛЬ"" и год выпуска: ""1992""; вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска – рельефный профильный портрет адмирала П.С. Нахимова в военном мундире, под ним – надпись полукругом: ""НАХИМОВ П.С."", справа вверху - парусное судно, под ним в две строки – даты: ""1802"" и ""1855""."
1r-1992-godovshchina-gosudarstvennogo-suvereniteta-rossii,Годовщина государственного суверенитета России,1,рубль,1992,ЛМД,rf,1992-1993,jubilee,cupronickel,bez-serii,,600000,31,2.3,12.8,"две надписи ""ОДИН РУБЛЬ"", разделённые двумя точками",0,0,0,0,0,"Каталожная карточка: 1 рубль, 1992 год, монетный двор — ЛМД. Тематика выпуска — «Годовщина государственного суверенитета России». Оформлена как самостоятельный сюжет без привязки к крупной серии в базе проекта. Эмиссия 600 000 экземпляров относит монету к категории памятных выпусков с известной массовостью. Рыночная котировка в первую очередь следует за сохранностью и редкостью штемпельных разновидностей.","в центре диска – рельефное изображение куполов собора Покрова на Рву на Красной площади и Спасской башни Московского кремля, слева вверху – двуглавый орёл с опущенными крыльями, под собором справа - товарный знак монетного двора, внизу в центре в три строки – номинал и год выпуска: ""1 РУБЛЬ 1992"", вдоль канта по окружности – надписи, слева: ""БАНК"", справа: ""РОССИИ"".","в центре диска – рельефное аллегорическое изображение богини Победы с венком в поднятой руке, на втором плане справа - Дом Советов Российской Федерации в Москве; вдоль канта – надписи по кругу: ""СУВЕРЕНИТЕТ"", ""ДЕМОКРАТИЯ"", ""ВОЗРОЖДЕНИЕ"", разделённая тремя лавровыми ветвями."
