index,out_stem
1,10r-2002-vooruzhennye-sily-reverse
2,10r-2002-vooruzhennye-sily-obverse
3,10r-2002-ministerstvo-obrazovaniya-reverse
4,10r-2002-ministerstvo-obrazovaniya-obverse
5,10r-2002-ministerstvo-ekonom-razvitiya-reverse
6,10r-2002-ministerstvo-ekonom-razvitiya-obverse
7,10r-2003-murom-reverse
8,10r-2003-murom-obverse
9,10r-2004-kem-reverse
10,10r-2004-kem-obverse
11,10r-2004-ryazhsk-reverse
12,10r-2004-ryazhsk-obverse
13,10r-2004-dmitrov-reverse
14,10r-2004-dmitrov-obverse
15,10r-2005-60-let-pobedy-v-vov-nikto-ne-zabyt-spmd-reverse
16,10r-2005-60-let-pobedy-v-vov-nikto-ne-zabyt-spmd-obverse
17,10r-2005-borovsk-obverse
18,10r-2005-borovsk-reverse
19,10r-2005-borovsk-obverse
